X Gaze Data, Y Gaze Data, Time 
(0, 0), 1280 x 1024
643,419,843740
648,420,843756
648,422,843771
655,424,843787
653,424,843803
662,427,843818
908,510,843834
979,530,843851
1031,543,843866
1056,549,843881
1068,552,843896
1081,556,843912
1081,556,843928
1081,556,843943
1080,558,843959
1079,559,843975
1077,563,843990
1077,564,844006
1073,569,844021
1073,569,844037
1070,569,844053
1069,567,844069
1069,564,844084
1068,563,844100
1067,564,844115
1055,570,844131
816,528,844204
268,347,844214
273,336,844225
440,283,844237
450,277,844247
455,276,844259
457,275,844271
458,276,844281
459,276,844293
457,277,844304
486,266,844327
489,262,844337
487,261,844349
487,260,844359
486,261,844371
483,263,844381
483,263,844392
483,263,844408
482,263,844424
482,263,844439
481,262,844455
479,259,844471
479,248,844486
477,246,844502
477,247,844518
476,249,844533
472,250,844549
472,251,844560
472,251,844571
472,251,844581
471,251,844593
471,251,844605
472,250,844614
476,248,844626
476,248,844637
475,248,844647
473,248,844660
467,252,844686
351,321,844702
342,328,844717
338,333,844733
335,336,844748
328,351,844764
331,350,844780
333,349,844795
334,346,844811
337,343,844826
336,343,844827
332,336,844842
332,336,844858
314,323,844873
146,205,844889
143,201,844905
138,194,844920
130,188,844936
136,177,844952
142,181,844967
141,178,844983
147,180,844998
149,180,845014
156,184,845030
158,182,845045
159,180,845061
162,178,845077
163,179,845092
164,178,845108
166,178,845123
170,178,845139
174,180,845155
174,182,845170
176,185,845186
176,186,845202
177,185,845217
179,184,845233
184,182,845248
191,179,845264
193,180,845280
195,183,845295
198,184,845311
199,183,845327
199,182,845342
201,181,845358
203,180,845373
205,179,845389
207,178,845405
210,175,845420
211,175,845436
213,177,845452
215,177,845467
218,177,845483
220,176,845498
223,175,845514
225,174,845530
225,174,845537
224,175,845548
224,175,845563
225,175,845579
230,173,845595
234,172,845610
233,172,845626
236,172,845641
239,172,845657
242,172,845673
244,171,845688
244,164,845704
246,161,845720
248,163,845735
249,162,845751
258,163,845766
260,163,845782
271,162,845798
272,160,845813
276,159,845829
277,159,845845
278,158,845860
279,156,845876
280,155,845892
281,156,845907
285,156,845923
290,156,845938
298,161,845954
299,161,845970
301,161,845985
302,160,846001
304,160,846017
306,159,846032
308,159,846048
312,159,846063
312,158,846079
314,158,846095
316,158,846110
316,159,846126
324,162,846141
327,163,846157
328,163,846173
332,166,846188
332,165,846204
333,163,846220
334,161,846235
338,160,846251
345,160,846266
346,160,846282
350,161,846298
353,163,846313
357,166,846329
359,168,846345
359,168,846360
373,170,846376
374,170,846391
376,171,846392
377,171,846407
377,171,846423
381,172,846438
382,174,846454
385,176,846470
386,176,846485
391,178,846501
393,178,846516
399,177,846517
402,178,846532
